QUAT,w,x,y,z,timestamp
quat0,0.26681,0.00298,-0.96334,0.02788,1363.92
quat1,0.03258,0.02146,-0.42542,-0.90415,1363.92
quat2,-0.06775,-0.10848,-0.66136,-0.73908,1363.92
quat3,-0.44415,0.87898,-0.07888,-0.15457,1363.92
quat4,-0.72536,0.67942,-0.10291,0.04071,1363.92
quat5,0.00000,-0.79335,0.00000,0.60876,1363.92
quat6,0.00000,-0.79335,0.00000,0.60876,1363.92
quat7,0.00000,-0.79335,0.00000,0.60876,1363.92
quat8,0.00000,-0.79335,0.00000,0.60876,1363.92
quat0,-0.57832,0.07811,0.81195,0.01366,1363.94
quat1,0.01848,0.03063,-0.43319,-0.90059,1363.94
quat2,-0.08101,-0.09190,-0.66457,-0.73711,1363.94
quat3,-0.44876,0.87291,-0.09410,-0.16667,1363.94
quat4,-0.72805,0.67479,-0.11886,0.02152,1363.94
quat5,0.00000,-0.79335,0.00000,0.60876,1363.94
quat6,0.00000,-0.79335,0.00000,0.60876,1363.94
quat7,0.00000,-0.79335,0.00000,0.60876,1363.94
quat8,0.00000,-0.79335,0.00000,0.60876,1363.94
quat0,-0.59315,0.04303,0.80394,-0.00100,1363.96
quat1,0.00112,0.04327,-0.44168,-0.89613,1363.96
quat2,-0.09921,-0.07082,-0.66797,-0.73414,1363.96
quat3,-0.45346,0.86502,-0.11038,-0.18420,1363.96
quat4,-0.73021,0.66909,-0.13816,-0.00499,1363.96
quat5,0.00000,-0.79335,0.00000,0.60876,1363.96
quat6,0.00000,-0.79335,0.00000,0.60876,1363.96
quat7,0.00000,-0.79335,0.00000,0.60876,1363.96
quat8,0.00000,-0.79335,0.00000,0.60876,1363.96
quat0,-0.58917,0.04655,0.80666,0.00324,1363.98
quat1,-0.01803,0.06030,-0.45027,-0.89067,1363.98
quat2,-0.12354,-0.04568,-0.67132,-0.72937,1363.98
quat3,-0.45841,0.85474,-0.12637,-0.20810,1363.98
quat4,-0.73188,0.66103,-0.16089,-0.03867,1363.98
quat5,0.00000,-0.79335,0.00000,0.60876,1363.98
quat6,0.00000,-0.79335,0.00000,0.60876,1363.98
quat7,0.00000,-0.79335,0.00000,0.60876,1363.98
quat8,0.00000,-0.79335,0.00000,0.60876,1363.98
quat0,-0.58683,0.04952,0.80816,0.00764,1364
quat1,-0.03910,0.08178,-0.45827,-0.88418,1364
quat2,-0.15392,-0.01773,-0.67429,-0.72203,1364
quat3,-0.46349,0.84165,-0.14401,-0.23678,1364
quat4,-0.73234,0.64948,-0.19021,-0.07533,1364
quat5,0.00000,-0.79335,0.00000,0.60876,1364
quat6,0.00000,-0.79335,0.00000,0.60876,1364
quat7,0.00000,-0.79335,0.00000,0.60876,1364
quat8,0.00000,-0.79335,0.00000,0.60876,1364
quat0,-0.58280,0.05205,0.81088,0.01022,1364.02
quat1,-0.06175,0.10729,-0.46591,-0.87613,1364.02
quat2,-0.18791,0.01569,-0.67592,-0.71245,1364.02
quat3,-0.46768,0.82628,-0.16216,-0.26879,1364.02
quat4,-0.73094,0.63394,-0.22407,-0.11676,1364.02
quat5,0.00000,-0.79335,0.00000,0.60876,1364.02
quat6,0.00000,-0.79335,0.00000,0.60876,1364.02
quat7,0.00000,-0.79335,0.00000,0.60876,1364.02
quat8,0.00000,-0.79335,0.00000,0.60876,1364.02
quat0,-0.57886,0.05618,0.81336,0.01449,1364.04
quat1,-0.08558,0.13513,-0.47221,-0.86685,1364.04
quat2,-0.22399,0.05389,-0.67608,-0.69989,1364.04
quat3,-0.46910,0.80879,-0.18110,-0.30497,1364.04
quat4,-0.72746,0.61416,-0.26087,-0.15990,1364.04
quat5,0.00000,-0.79335,0.00000,0.60876,1364.04
quat6,0.00000,-0.79335,0.00000,0.60876,1364.04
quat7,0.00000,-0.79335,0.00000,0.60876,1364.04
quat8,0.00000,-0.79335,0.00000,0.60876,1364.04
quat0,-0.57688,0.05938,0.81443,0.01945,1364.06
quat1,-0.10933,0.16745,-0.47467,-0.85714,1364.06
quat2,-0.26002,0.09780,-0.67498,-0.68354,1364.06
quat3,-0.46782,0.78924,-0.20029,-0.34369,1364.06
quat4,-0.72105,0.59078,-0.30130,-0.20074,1364.06
quat5,0.00000,-0.79335,0.00000,0.60876,1364.06
quat6,0.00000,-0.79335,0.00000,0.60876,1364.06
quat7,0.00000,-0.79335,0.00000,0.60876,1364.06
quat8,0.00000,-0.79335,0.00000,0.60876,1364.06
quat0,-0.57539,0.05962,0.81538,0.02308,1364.08
quat1,-0.13213,0.20261,-0.47564,-0.84573,1364.08
quat2,-0.29842,0.14181,-0.67129,-0.66348,1364.08
quat3,-0.46350,0.76792,-0.21759,-0.38488,1364.08
quat4,-0.71049,0.56583,-0.34805,-0.23218,1364.08
quat5,0.00000,-0.79335,0.00000,0.60876,1364.08
quat6,0.00000,-0.79335,0.00000,0.60876,1364.08
quat7,0.00000,-0.79335,0.00000,0.60876,1364.08
quat8,0.00000,-0.79335,0.00000,0.60876,1364.08
quat0,-0.57104,0.05998,0.81828,0.02716,1364.1
